"","continent","date","values"
"5743","South America","1/1/2020",1
"5744","South America","1/2/2020",1
"5745","South America","1/3/2020",1
"5746","South America","1/4/2020",1
"5747","South America","1/5/2020",1
"5748","South America","1/6/2020",1
"5749","South America","1/7/2020",1
"5750","South America","1/8/2020",1
"5751","South America","1/9/2020",1
"5752","South America","1/10/2020",1
"5753","South America","1/11/2020",1
"5754","South America","1/12/2020",1
"5755","South America","1/13/2020",1
"5756","South America","1/14/2020",1
"5757","South America","1/15/2020",1
"5758","South America","1/16/2020",1
"5759","South America","1/17/2020",1
"5760","South America","1/18/2020",1
"5761","South America","1/19/2020",1
"5762","South America","1/20/2020",1
"5763","South America","1/21/2020",1
"5764","South America","1/22/2020",1
"5765","South America","1/23/2020",1
"5766","South America","1/24/2020",1
"5767","South America","1/25/2020",1
"5768","South America","1/26/2020",1
"5769","South America","1/27/2020",1
"5770","South America","1/28/2020",1
"5771","South America","1/29/2020",1
"5772","South America","1/30/2020",1
"5773","South America","1/31/2020",1
"5774","South America","2/1/2020",1
"5775","South America","2/2/2020",1
"5776","South America","2/3/2020",1
"5777","South America","2/4/2020",1
"5778","South America","2/5/2020",1
"5779","South America","2/6/2020",1
"5780","South America","2/7/2020",1
"5781","South America","2/8/2020",1
"5782","South America","2/9/2020",1
"5783","South America","2/10/2020",1
"5784","South America","2/11/2020",1
"5785","South America","2/12/2020",1
"5786","South America","2/13/2020",1
"5787","South America","2/14/2020",1
"5788","South America","2/15/2020",1
"5789","South America","2/16/2020",1
"5790","South America","2/17/2020",1
"5791","South America","2/18/2020",1
"5792","South America","2/19/2020",1
"5793","South America","2/20/2020",1
"5794","South America","2/21/2020",1
"5795","South America","2/22/2020",1
"8741","Oceania","1/26/2020",1
"8742","Oceania","1/27/2020",1
"8743","Oceania","1/28/2020",1
"8744","Oceania","1/29/2020",1
"52801","Europe","1/24/2020",1
"52802","Europe","1/25/2020",1
"52803","Europe","1/26/2020",1
"96095","North America","1/1/2020",1
"96096","North America","1/2/2020",1
"96097","North America","1/3/2020",1
"96098","North America","1/4/2020",1
"96099","North America","1/5/2020",1
"96100","North America","1/6/2020",1
"96101","North America","1/7/2020",1
"96102","North America","1/8/2020",1
"96103","North America","1/9/2020",1
"96104","North America","1/10/2020",1
"96105","North America","1/11/2020",1
"96106","North America","1/12/2020",1
"96107","North America","1/13/2020",1
"96108","North America","1/14/2020",1
"96109","North America","1/15/2020",1
"96110","North America","1/16/2020",1
"96111","North America","1/17/2020",1
"96112","North America","1/18/2020",1
"96113","North America","1/19/2020",1
"96114","North America","1/20/2020",1
"96115","North America","1/21/2020",1
"145436","Asia","1/4/2020",1
"145437","Asia","1/5/2020",1
"145438","Asia","1/6/2020",1
"145439","Asia","1/7/2020",1
"145440","Asia","1/8/2020",1
"145441","Asia","1/9/2020",1
"145442","Asia","1/10/2020",1
"145443","Asia","1/11/2020",1
"145444","Asia","1/12/2020",1
"145445","Asia","1/13/2020",1
"145446","Asia","1/14/2020",1
"145447","Asia","1/15/2020",1
